,merchant_category_code_cat,merchant_category_code_previoustransaction_cat,zipcode_cat,zipcode_previoustransaction_cat,transaction_value_cat,transaction_value_previoustransaction_cat,pos_entry,creditcard_limit_cat,brand_visa_mastercard_cat,type_of_creditcard_cat,fraudscore_cat,type_person_cat,trans_nacional_cat,numb_of_installments_cat,transactionspeed_cat,dif_fraudscore_cat,transaction_limit_cat,TARGET
0,9.0,22.0,3.0,3.0,6.0,6.0,2.0,6.0,2.0,3.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,0
1,22.0,22.0,3.0,3.0,7.0,7.0,2.0,6.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,0
2,22.0,22.0,3.0,3.0,7.0,7.0,2.0,6.0,2.0,3.0,3.0,1.0,0.0,1.0,6.0,5.0,0.0,1
3,9.0,0.0,2.0,0.0,4.0,1.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0
4,15.0,9.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0
5,6.0,0.0,2.0,0.0,9.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0
6,6.0,13.0,3.0,3.0,3.0,2.0,2.0,7.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,0
7,6.0,6.0,3.0,3.0,6.0,3.0,2.0,7.0,2.0,3.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0
8,13.0,0.0,5.0,0.0,4.0,1.0,2.0,5.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0
9,9.0,0.0,4.0,0.0,3.0,1.0,2.0,9.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0
10,16.0,9.0,4.0,4.0,4.0,3.0,2.0,9.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0
